HAX54_000001-T1	IPR018545
HAX54_000160-T1	IPR001128
HAX54_000160-T1	IPR002401
HAX54_000161-T1	IPR001128
HAX54_000161-T1	IPR002401
HAX54_000162-T1	IPR023210
HAX54_000163-T1	IPR023210
HAX54_000164-T1	IPR004518
HAX54_000165-T1	IPR003690
HAX54_000166-T1	IPR001806
HAX54_000166-T1	IPR005225
HAX54_000167-T1	IPR005018
HAX54_000167-T1	IPR006593
HAX54_000168-T1	IPR006171
HAX54_000168-T1	IPR013497
HAX54_000170-T1	IPR002182
HAX54_000170-T1	IPR041118
HAX54_000171-T1	IPR011598
HAX54_000172-T1	IPR001752
HAX54_000173-T1	IPR000010
HAX54_000174-T1	IPR001440
HAX54_000174-T1	IPR013026
HAX54_000174-T1	IPR019734
HAX54_000174-T1	IPR029489
HAX54_000175-T1	IPR001440
HAX54_000175-T1	IPR013026
HAX54_000175-T1	IPR019734
HAX54_000175-T1	IPR029489
HAX54_000178-T1	IPR002885
HAX54_000178-T1	IPR008586
HAX54_000179-T1	IPR001650
HAX54_000179-T1	IPR007502
HAX54_000179-T1	IPR008586
HAX54_000179-T1	IPR011709
HAX54_000179-T1	IPR014001
HAX54_000181-T1	IPR010800
HAX54_000184-T1	IPR010800
HAX54_000185-T1	IPR010800
HAX54_000186-T1	IPR001179
HAX54_000186-T1	IPR013026
HAX54_000186-T1	IPR019734
HAX54_000187-T1	IPR006895
HAX54_000187-T1	IPR006896
HAX54_000187-T1	IPR006900
HAX54_000187-T1	IPR007123
HAX54_000187-T1	IPR012990
HAX54_000188-T1	IPR001128
HAX54_000188-T1	IPR002401
HAX54_000189-T1	IPR001128
HAX54_000189-T1	IPR021233
HAX54_000192-T1	IPR001752
HAX54_000192-T1	IPR021881
HAX54_000202-T1	IPR032263
HAX54_000208-T1	IPR001005
HAX54_000208-T1	IPR017930
HAX54_000209-T1	IPR001841
HAX54_000217-T1	IPR003441
HAX54_000219-T1	IPR002645
HAX54_000219-T1	IPR011547
HAX54_000224-T1	IPR013197
HAX54_000225-T1	IPR008806
HAX54_000227-T1	IPR000509
HAX54_000233-T1	IPR000086
HAX54_000237-T1	IPR001841
HAX54_000238-T1	IPR004127
HAX54_000239-T1	IPR003245
HAX54_000244-T1	IPR004274
HAX54_000246-T1	IPR006502
HAX54_000262-T1	IPR002213
HAX54_000263-T1	IPR001661
HAX54_000264-T1	IPR003439
HAX54_000265-T1	IPR001077
HAX54_000265-T1	IPR012967
HAX54_000265-T1	IPR016461
HAX54_000266-T1	IPR001077
HAX54_000266-T1	IPR012967
HAX54_000266-T1	IPR016461
HAX54_000267-T1	IPR001117
HAX54_000267-T1	IPR011706
HAX54_000267-T1	IPR011707
HAX54_000267-T1	IPR017761
HAX54_000268-T1	IPR001694
HAX54_000272-T1	IPR003131
HAX54_000275-T1	IPR002123
HAX54_000277-T1	IPR002921
HAX54_000283-T1	IPR005123
HAX54_000286-T1	IPR025558
HAX54_000287-T1	IPR000425
HAX54_000287-T1	IPR002867
HAX54_000288-T1	IPR008540
HAX54_000291-T1	IPR032752
HAX54_000294-T1	IPR001611
HAX54_000295-T1	IPR011016
HAX54_000296-T1	IPR000719
HAX54_000297-T1	IPR001611
HAX54_000297-T1	IPR013210
HAX54_000298-T1	IPR000719
HAX54_000299-T1	IPR001611
HAX54_000299-T1	IPR013210
HAX54_000300-T1	IPR000719
HAX54_000300-T1	IPR004041
HAX54_000300-T1	IPR018451
HAX54_000301-T1	IPR025422
HAX54_000302-T1	IPR000719
HAX54_000302-T1	IPR001245
HAX54_000302-T1	IPR001611
HAX54_000302-T1	IPR013210
HAX54_000303-T1	IPR031329
HAX54_000303-T1	IPR031331
HAX54_000304-T1	IPR001087
HAX54_000305-T1	IPR001087
HAX54_000306-T1	IPR001087
HAX54_000307-T1	IPR002048
HAX54_000307-T1	IPR004837
HAX54_000309-T1	IPR005491
HAX54_000309-T1	IPR008395
HAX54_000311-T1	IPR004929
HAX54_000312-T1	IPR005513
HAX54_000313-T1	IPR008183
HAX54_000316-T1	IPR005202
HAX54_000317-T1	IPR005828
HAX54_000317-T1	IPR020846
HAX54_000318-T1	IPR005828
HAX54_000318-T1	IPR020846
HAX54_000320-T1	IPR000504
HAX54_000321-T1	IPR022666
HAX54_000321-T1	IPR022669
HAX54_000322-T1	IPR001360
HAX54_000324-T1	IPR007493
HAX54_000325-T1	IPR000315
HAX54_000325-T1	IPR010402
HAX54_000326-T1	IPR001179
HAX54_000327-T1	IPR026961
HAX54_000333-T1	IPR009769
HAX54_000334-T1	IPR001810
HAX54_000336-T1	IPR006566
HAX54_000343-T1	IPR006566
HAX54_000344-T1	IPR001810
HAX54_000344-T1	IPR006566
HAX54_000346-T1	IPR006566
HAX54_000347-T1	IPR006566
HAX54_000348-T1	IPR006566
HAX54_000349-T1	IPR001019
HAX54_000350-T1	IPR001623
HAX54_000350-T1	IPR024593
HAX54_000352-T1	IPR012900
HAX54_000353-T1	IPR004827
HAX54_000354-T1	IPR005150
HAX54_000357-T1	IPR012317
HAX54_000357-T1	IPR022003
HAX54_000358-T1	IPR002885
HAX54_000358-T1	IPR032867
HAX54_000362-T1	IPR003676
HAX54_000363-T1	IPR008587
HAX54_000364-T1	IPR008587
HAX54_000365-T1	IPR008587
HAX54_000372-T1	IPR002921
HAX54_000375-T1	IPR001623
HAX54_000375-T1	IPR002939
HAX54_000379-T1	IPR015412
HAX54_000379-T1	IPR026854
HAX54_000381-T1	IPR032867
HAX54_000382-T1	IPR002048
HAX54_000384-T1	IPR021789
HAX54_000385-T1	IPR001611
HAX54_000385-T1	IPR024788
HAX54_000385-T1	IPR025875
HAX54_000386-T1	IPR013863
HAX54_000387-T1	IPR001471
HAX54_000388-T1	IPR006634
HAX54_000389-T1	IPR001128
HAX54_000389-T1	IPR002401
HAX54_000390-T1	IPR013094
HAX54_000391-T1	IPR013094
HAX54_000392-T1	IPR013094
HAX54_000393-T1	IPR013094
HAX54_000394-T1	IPR013094
HAX54_000402-T1	IPR001841
HAX54_000407-T1	IPR007315
HAX54_000408-T1	IPR007315
HAX54_000410-T1	IPR007493
HAX54_000411-T1	IPR000814
HAX54_000412-T1	IPR001810
HAX54_000412-T1	IPR006652
HAX54_000413-T1	IPR001650
HAX54_000413-T1	IPR011545
HAX54_000413-T1	IPR014001
HAX54_000413-T1	IPR014014
HAX54_000414-T1	IPR004843
HAX54_000414-T1	IPR006186
HAX54_000418-T1	IPR002293
HAX54_000419-T1	IPR003832
HAX54_000420-T1	IPR002293
HAX54_000425-T1	IPR000608
HAX54_000426-T1	IPR000490
HAX54_000426-T1	IPR012946
HAX54_000427-T1	IPR006958
HAX54_000427-T1	IPR029004
HAX54_000428-T1	IPR002885
HAX54_000429-T1	IPR001611
HAX54_000430-T1	IPR001611
HAX54_000431-T1	IPR019378
HAX54_000432-T1	IPR005269
HAX54_000432-T1	IPR031100
HAX54_000434-T1	IPR000357
HAX54_000434-T1	IPR021133
HAX54_000434-T1	IPR041389
HAX54_000436-T1	IPR041653
HAX54_000437-T1	IPR041389
HAX54_000438-T1	IPR041389
HAX54_000438-T1	IPR041653
HAX54_000439-T1	IPR000357
HAX54_000439-T1	IPR002182
HAX54_000439-T1	IPR041389
HAX54_000439-T1	IPR041653
HAX54_000441-T1	IPR041653
HAX54_000443-T1	IPR005202
HAX54_000446-T1	IPR000535
HAX54_000450-T1	IPR011611
HAX54_000454-T1	IPR004088
HAX54_000459-T1	IPR008540
HAX54_000460-T1	IPR007461
HAX54_000464-T1	IPR004274
HAX54_000469-T1	IPR002885
HAX54_000473-T1	IPR000719
HAX54_000473-T1	IPR002048
HAX54_000474-T1	IPR004827
HAX54_000474-T1	IPR025422
HAX54_000477-T1	IPR006680
HAX54_000477-T1	IPR011778
HAX54_000480-T1	IPR001810
HAX54_000481-T1	IPR012442
HAX54_000482-T1	IPR004853
HAX54_000483-T1	IPR019410
HAX54_000484-T1	IPR000891
HAX54_000486-T1	IPR008521
HAX54_000488-T1	IPR028058
HAX54_000488-T1	IPR028061
HAX54_000489-T1	IPR002048
HAX54_000491-T1	IPR001841
HAX54_000492-T1	IPR007502
HAX54_000492-T1	IPR011709
HAX54_000493-T1	IPR001650
HAX54_000493-T1	IPR011545
HAX54_000493-T1	IPR014001
HAX54_000499-T1	IPR001806
HAX54_000499-T1	IPR013567
HAX54_000499-T1	IPR020860
HAX54_000500-T1	IPR002208
HAX54_000501-T1	IPR002208
HAX54_000503-T1	IPR008217
HAX54_000504-T1	IPR001005
HAX54_000504-T1	IPR001789
HAX54_000504-T1	IPR003607
HAX54_000504-T1	IPR006447
HAX54_000504-T1	IPR007685
HAX54_000504-T1	IPR017930
HAX54_000505-T1	IPR001494
HAX54_000505-T1	IPR005225
HAX54_000505-T1	IPR006689
HAX54_000505-T1	IPR013598
HAX54_000505-T1	IPR014877
HAX54_000505-T1	IPR040485
HAX54_000505-T1	IPR041123
HAX54_000505-T1	IPR041235
HAX54_000506-T1	IPR001841
HAX54_000507-T1	IPR007763
HAX54_000509-T1	IPR001841
HAX54_000509-T1	IPR018957
HAX54_000510-T1	IPR001841
HAX54_000510-T1	IPR018957
HAX54_000516-T1	IPR006828
HAX54_000516-T1	IPR032640
HAX54_000517-T1	IPR006045
HAX54_000520-T1	IPR000719
HAX54_000521-T1	IPR002885
HAX54_000521-T1	IPR033443
HAX54_000522-T1	IPR018108
HAX54_000523-T1	IPR002067
HAX54_000525-T1	IPR003106
HAX54_000530-T1	IPR001650
HAX54_000530-T1	IPR011545
HAX54_000530-T1	IPR014001
HAX54_000530-T1	IPR014014
HAX54_000530-T1	IPR025313
HAX54_000531-T1	IPR012317
HAX54_000531-T1	IPR022003
HAX54_000532-T1	IPR012442
HAX54_000535-T1	IPR025558
HAX54_000541-T1	IPR001260
HAX54_000543-T1	IPR004367
HAX54_000543-T1	IPR006671
HAX54_000548-T1	IPR007263
HAX54_000550-T1	IPR001357
HAX54_000550-T1	IPR002008
HAX54_000550-T1	IPR010996
HAX54_000550-T1	IPR018944
HAX54_000550-T1	IPR022312
HAX54_000550-T1	IPR028207
HAX54_000550-T1	IPR029398
HAX54_000551-T1	IPR001650
HAX54_000551-T1	IPR011545
HAX54_000551-T1	IPR014001
HAX54_000551-T1	IPR014014
HAX54_000552-T1	IPR002213
HAX54_000557-T1	IPR006948
HAX54_000559-T1	IPR000136
HAX54_000560-T1	IPR001509
HAX54_000562-T1	IPR024661
HAX54_000563-T1	IPR008686
HAX54_000570-T1	IPR003175
HAX54_000573-T1	IPR001932
HAX54_000575-T1	IPR032816
HAX54_000576-T1	IPR031309
HAX54_000576-T1	IPR031310
HAX54_000577-T1	IPR006458
HAX54_000578-T1	IPR001623
HAX54_000578-T1	IPR017896
HAX54_000579-T1	IPR012881
HAX54_000588-T1	IPR002022
HAX54_000588-T1	IPR018082
HAX54_000589-T1	IPR001394
HAX54_000589-T1	IPR028889
HAX54_000590-T1	IPR000626
HAX54_000590-T1	IPR001394
HAX54_000590-T1	IPR028889
HAX54_000591-T1	IPR029004
HAX54_000594-T1	IPR001024
HAX54_000595-T1	IPR001024
HAX54_000597-T1	IPR000719
HAX54_000604-T1	IPR001623
HAX54_000604-T1	IPR032843
HAX54_000606-T1	IPR000529
HAX54_000607-T1	IPR002885
HAX54_000608-T1	IPR004963
HAX54_000609-T1	IPR004963
HAX54_000613-T1	IPR002110
HAX54_000613-T1	IPR020683
HAX54_000614-T1	IPR016140
HAX54_000617-T1	IPR002067
HAX54_000617-T1	IPR018108
HAX54_000618-T1	IPR018108
HAX54_000624-T1	IPR000719
HAX54_000624-T1	IPR001680
HAX54_000624-T1	IPR017986
HAX54_000624-T1	IPR020472
HAX54_000626-T1	IPR000719
HAX54_000626-T1	IPR001245
HAX54_000626-T1	IPR010632
HAX54_000628-T1	IPR001471
HAX54_000630-T1	IPR000608
HAX54_000631-T1	IPR000719
HAX54_000631-T1	IPR001611
HAX54_000631-T1	IPR013210
HAX54_000633-T1	IPR008183
HAX54_000634-T1	IPR002659
HAX54_000635-T1	IPR002842
HAX54_000636-T1	IPR000178
HAX54_000636-T1	IPR000795
HAX54_000636-T1	IPR005225
HAX54_000636-T1	IPR023115
HAX54_000637-T1	IPR003439
HAX54_000637-T1	IPR011527
HAX54_000639-T1	IPR006114
HAX54_000639-T1	IPR006115
HAX54_000640-T1	IPR010605
HAX54_000641-T1	IPR000210
HAX54_000641-T1	IPR011705
HAX54_000643-T1	IPR006153
HAX54_000644-T1	IPR006153
HAX54_000646-T1	IPR003675
HAX54_000648-T1	IPR003959
HAX54_000648-T1	IPR041569
HAX54_000649-T1	IPR003388
HAX54_000650-T1	IPR000772
HAX54_000653-T1	IPR004864
HAX54_000654-T1	IPR013121
HAX54_000655-T1	IPR013112
HAX54_000655-T1	IPR013623
HAX54_000656-T1	IPR003656
HAX54_000661-T1	IPR002885
HAX54_000661-T1	IPR032867
HAX54_000662-T1	IPR000719
HAX54_000663-T1	IPR001283
HAX54_000663-T1	IPR002413
HAX54_000663-T1	IPR014044
HAX54_000664-T1	IPR001283
HAX54_000664-T1	IPR002413
HAX54_000664-T1	IPR014044
HAX54_000665-T1	IPR007751
HAX54_000666-T1	IPR004041
HAX54_000666-T1	IPR018451
HAX54_000667-T1	IPR032799
HAX54_000668-T1	IPR000504
HAX54_000668-T1	IPR002004
HAX54_000668-T1	IPR006515
HAX54_000670-T1	IPR002528
HAX54_000677-T1	IPR000626
HAX54_000677-T1	IPR003103
HAX54_000682-T1	IPR000719
HAX54_000682-T1	IPR001245
HAX54_000682-T1	IPR003613
HAX54_000684-T1	IPR001752
HAX54_000686-T1	IPR005123
HAX54_000686-T1	IPR026992
HAX54_000687-T1	IPR003582
HAX54_000688-T1	IPR002921
HAX54_000688-T1	IPR005592
HAX54_000689-T1	IPR000509
HAX54_000692-T1	IPR006630
HAX54_000693-T1	IPR006630
HAX54_000694-T1	IPR001810
HAX54_000694-T1	IPR017451
HAX54_000695-T1	IPR001810
HAX54_000697-T1	IPR001810
HAX54_000697-T1	IPR006527
HAX54_000697-T1	IPR017451
HAX54_000698-T1	IPR006527
HAX54_000698-T1	IPR017451
HAX54_000700-T1	IPR004125
HAX54_000701-T1	IPR000897
HAX54_000701-T1	IPR013822
HAX54_000704-T1	IPR009056
HAX54_000711-T1	IPR012876
HAX54_000713-T1	IPR002625
HAX54_000713-T1	IPR013899
HAX54_000716-T1	IPR032861
HAX54_000716-T1	IPR033121
HAX54_000717-T1	IPR032861
HAX54_000723-T1	IPR000719
HAX54_000724-T1	IPR024593
HAX54_000725-T1	IPR001841
HAX54_000727-T1	IPR002110
HAX54_000727-T1	IPR020683
HAX54_000728-T1	IPR001841
HAX54_000733-T1	IPR004883
HAX54_000734-T1	IPR001701
HAX54_000735-T1	IPR015883
HAX54_000735-T1	IPR025705
HAX54_000735-T1	IPR029019
HAX54_000740-T1	IPR013094
HAX54_000741-T1	IPR000467
HAX54_000741-T1	IPR000504
HAX54_000743-T1	IPR007587
HAX54_000744-T1	IPR001680
HAX54_000744-T1	IPR017986
HAX54_000744-T1	IPR020472
HAX54_000746-T1	IPR003347
HAX54_000746-T1	IPR003349
HAX54_000746-T1	IPR003888
HAX54_000746-T1	IPR003889
HAX54_000746-T1	IPR004198
HAX54_000747-T1	IPR006459
HAX54_000747-T1	IPR006702
HAX54_000748-T1	IPR005735
HAX54_000749-T1	IPR004837
HAX54_000750-T1	IPR006094
HAX54_000750-T1	IPR012951
HAX54_000750-T1	IPR016166
HAX54_000751-T1	IPR000322
HAX54_000751-T1	IPR025887
HAX54_000751-T1	IPR031727
HAX54_000752-T1	IPR012501
HAX54_000754-T1	IPR000209
HAX54_000754-T1	IPR010259
HAX54_000754-T1	IPR015500
HAX54_000754-T1	IPR041469
HAX54_000755-T1	IPR004788
HAX54_000756-T1	IPR007305
HAX54_000757-T1	IPR001128
HAX54_000757-T1	IPR002401
HAX54_000762-T1	IPR002124
HAX54_000763-T1	IPR000719
HAX54_000763-T1	IPR001245
HAX54_000763-T1	IPR013210
HAX54_000765-T1	IPR002912
HAX54_000765-T1	IPR011598
HAX54_000766-T1	IPR001392
HAX54_000766-T1	IPR028565
HAX54_000767-T1	IPR005175
HAX54_000772-T1	IPR005024
HAX54_000780-T1	IPR002100
HAX54_000781-T1	IPR000717
HAX54_000782-T1	IPR025150
HAX54_000783-T1	IPR013087
HAX54_000799-T1	IPR001765
HAX54_000802-T1	IPR007062
HAX54_000812-T1	IPR005025
HAX54_000812-T1	IPR008254
HAX54_000812-T1	IPR010089
HAX54_000813-T1	IPR001849
HAX54_000814-T1	IPR002885
HAX54_000814-T1	IPR032867
HAX54_000815-T1	IPR000719
HAX54_000816-T1	IPR001441
HAX54_000831-T1	IPR002553
HAX54_000831-T1	IPR015151
HAX54_000832-T1	IPR025558
HAX54_000833-T1	IPR032682
HAX54_000834-T1	IPR002553
HAX54_000835-T1	IPR001128
HAX54_000835-T1	IPR002401
HAX54_000836-T1	IPR001128
HAX54_000836-T1	IPR002401
HAX54_000837-T1	IPR000719
HAX54_000837-T1	IPR001245
HAX54_000838-T1	IPR001680
HAX54_000838-T1	IPR017986
HAX54_000838-T1	IPR020472
HAX54_000843-T1	IPR000504
HAX54_000844-T1	IPR003855
HAX54_000846-T1	IPR001757
HAX54_000846-T1	IPR006121
HAX54_000846-T1	IPR027256
HAX54_000847-T1	IPR022087
HAX54_000848-T1	IPR022087
HAX54_000849-T1	IPR002680
HAX54_000850-T1	IPR000048
HAX54_000850-T1	IPR002110
HAX54_000850-T1	IPR002909
HAX54_000850-T1	IPR005559
HAX54_000850-T1	IPR020683
HAX54_000851-T1	IPR001394
HAX54_000851-T1	IPR028889
HAX54_000852-T1	IPR009457
HAX54_000853-T1	IPR001932
HAX54_000858-T1	IPR001739
HAX54_000858-T1	IPR013087
HAX54_000859-T1	IPR001305
HAX54_000859-T1	IPR001623
HAX54_000859-T1	IPR002939
HAX54_000859-T1	IPR012724
HAX54_000862-T1	IPR002213
HAX54_000863-T1	IPR002213
HAX54_000864-T1	IPR004136
HAX54_000866-T1	IPR003439
HAX54_000866-T1	IPR013525
HAX54_000867-T1	IPR003439
HAX54_000867-T1	IPR013525
HAX54_000868-T1	IPR003439
HAX54_000869-T1	IPR013525
HAX54_000870-T1	IPR002110
HAX54_000870-T1	IPR020683
HAX54_000871-T1	IPR004183
HAX54_000872-T1	IPR001000
HAX54_000872-T1	IPR003305
HAX54_000873-T1	IPR006876
HAX54_000874-T1	IPR001208
HAX54_000874-T1	IPR033762
HAX54_000875-T1	IPR001898
HAX54_000876-T1	IPR000422
HAX54_000876-T1	IPR000926
HAX54_000876-T1	IPR032677
HAX54_000878-T1	IPR003480
HAX54_000879-T1	IPR003480
HAX54_000880-T1	IPR003480
HAX54_000882-T1	IPR003480
HAX54_000883-T1	IPR003480
HAX54_000888-T1	IPR000490
HAX54_000890-T1	IPR000644
HAX54_000890-T1	IPR002550
HAX54_000895-T1	IPR006809
HAX54_000896-T1	IPR026992
HAX54_000899-T1	IPR000408
HAX54_000900-T1	IPR000408
HAX54_000901-T1	IPR002129
HAX54_000901-T1	IPR010977
HAX54_000902-T1	IPR000626
HAX54_000902-T1	IPR003103
HAX54_000903-T1	IPR002213
HAX54_000904-T1	IPR005199
HAX54_000905-T1	IPR018108
HAX54_000907-T1	IPR024601
HAX54_000907-T1	IPR035414
HAX54_000909-T1	IPR004314
HAX54_000909-T1	IPR025521
HAX54_000911-T1	IPR003131
HAX54_000913-T1	IPR005175
HAX54_000916-T1	IPR001209
HAX54_000918-T1	IPR000717
HAX54_000918-T1	IPR040896
HAX54_000919-T1	IPR001471
HAX54_000920-T1	IPR000788
HAX54_000920-T1	IPR005144
HAX54_000920-T1	IPR013346
HAX54_000920-T1	IPR013509
HAX54_000921-T1	IPR007462
HAX54_000922-T1	IPR001611
HAX54_000928-T1	IPR002562
HAX54_000929-T1	IPR002562
HAX54_000931-T1	IPR019083
HAX54_000935-T1	IPR001944
HAX54_000935-T1	IPR031330
HAX54_000942-T1	IPR006094
HAX54_000942-T1	IPR016166
HAX54_000944-T1	IPR007173
HAX54_000944-T1	IPR010030
HAX54_000951-T1	IPR000704
HAX54_000952-T1	IPR004316
HAX54_000953-T1	IPR002885
HAX54_000953-T1	IPR004316
HAX54_000954-T1	IPR004839
HAX54_000959-T1	IPR013121
HAX54_000961-T1	IPR004345
HAX54_000963-T1	IPR001099
HAX54_000963-T1	IPR012328
HAX54_000964-T1	IPR005299
HAX54_000968-T1	IPR002182
HAX54_000969-T1	IPR001128
HAX54_000969-T1	IPR002401
HAX54_000981-T1	IPR002068
HAX54_000986-T1	IPR001680
HAX54_000986-T1	IPR017986
HAX54_000986-T1	IPR024977
HAX54_000987-T1	IPR001680
HAX54_000991-T1	IPR019442
HAX54_000992-T1	IPR003439
HAX54_000992-T1	IPR011527
HAX54_000993-T1	IPR000719
HAX54_000994-T1	IPR013126
HAX54_000998-T1	IPR003480
HAX54_000999-T1	IPR000626
HAX54_000999-T1	IPR039540
HAX54_001000-T1	IPR019448
HAX54_001002-T1	IPR000048
HAX54_001002-T1	IPR025064
HAX54_001009-T1	IPR001906
HAX54_001009-T1	IPR005630
HAX54_001010-T1	IPR001906
HAX54_001010-T1	IPR005630
HAX54_001013-T1	IPR003439
HAX54_001013-T1	IPR013525
HAX54_001013-T1	IPR013581
HAX54_001025-T1	IPR000668
HAX54_001027-T1	IPR000719
HAX54_001028-T1	IPR008144
HAX54_001028-T1	IPR008145
HAX54_001030-T1	IPR000668
HAX54_001030-T1	IPR013201
HAX54_001031-T1	IPR009515
HAX54_001032-T1	IPR021099
HAX54_001034-T1	IPR000719
HAX54_001034-T1	IPR001245
HAX54_001034-T1	IPR001611
HAX54_001035-T1	IPR000719
HAX54_001036-T1	IPR003128
HAX54_001036-T1	IPR005636
HAX54_001036-T1	IPR007122
HAX54_001036-T1	IPR007123
HAX54_001038-T1	IPR000812
HAX54_001038-T1	IPR013137
HAX54_001038-T1	IPR013150
HAX54_001039-T1	IPR002213
HAX54_001040-T1	IPR002213
HAX54_001041-T1	IPR002213
HAX54_001042-T1	IPR024336
HAX54_001043-T1	IPR004853
HAX54_001044-T1	IPR001148
HAX54_001045-T1	IPR005349
HAX54_001046-T1	IPR000048
HAX54_001046-T1	IPR025064
HAX54_001047-T1	IPR004158
HAX54_001048-T1	IPR008166
HAX54_001050-T1	IPR018108
HAX54_001051-T1	IPR000504
HAX54_001051-T1	IPR000571
HAX54_001051-T1	IPR032297
HAX54_001052-T1	IPR001932
HAX54_001052-T1	IPR002182
HAX54_001053-T1	IPR002641
HAX54_001053-T1	IPR021771
HAX54_001054-T1	IPR002048
HAX54_001055-T1	IPR000719
HAX54_001056-T1	IPR001128
HAX54_001056-T1	IPR002403
HAX54_001058-T1	IPR000544
HAX54_001058-T1	IPR004143
HAX54_001061-T1	IPR039428
