HAX54_000001-T1	PF09405
HAX54_000433-T1	PF00270
HAX54_000433-T1	PF00271
HAX54_000434-T1	PF00149
HAX54_000435-T1	PF00494
HAX54_000438-T1	PF13520
HAX54_000439-T1	PF02681
HAX54_000440-T1	PF13520
HAX54_000444-T1	PF00179
HAX54_000445-T1	PF00332
HAX54_000445-T1	PF07983
HAX54_000446-T1	PF01778
HAX54_000446-T1	PF04874
HAX54_000447-T1	PF01535
HAX54_000447-T1	PF13041
HAX54_000449-T1	PF00560
HAX54_000449-T1	PF13855
HAX54_000450-T1	PF13855
HAX54_000451-T1	PF10250
HAX54_000452-T1	PF03641
HAX54_000455-T1	PF02985
HAX54_000457-T1	PF12755
HAX54_000457-T1	PF18808
HAX54_000458-T1	PF12755
HAX54_000458-T1	PF18808
HAX54_000459-T1	PF00931
HAX54_000459-T1	PF02985
HAX54_000459-T1	PF18808
HAX54_000461-T1	PF18808
HAX54_000464-T1	PF03514
HAX54_000469-T1	PF00635
HAX54_000471-T1	PF00999
HAX54_000475-T1	PF00294
HAX54_000478-T1	PF00013
HAX54_000479-T1	PF00013
HAX54_000484-T1	PF05687
HAX54_000485-T1	PF04366
HAX54_000494-T1	PF00069
HAX54_000494-T1	PF13202
HAX54_000494-T1	PF13405
HAX54_000495-T1	PF00170
HAX54_000495-T1	PF14144
HAX54_000497-T1	PF05627
HAX54_000500-T1	PF00646
HAX54_000501-T1	PF07816
HAX54_000502-T1	PF03151
HAX54_000503-T1	PF10294
HAX54_000504-T1	PF00682
HAX54_000506-T1	PF05653
HAX54_000507-T1	PF05653
HAX54_000509-T1	PF14852
HAX54_000509-T1	PF14853
HAX54_000510-T1	PF13499
HAX54_000512-T1	PF13639
HAX54_000513-T1	PF04408
HAX54_000513-T1	PF07717
HAX54_000514-T1	PF00270
HAX54_000514-T1	PF00271
HAX54_000520-T1	PF00071
HAX54_000520-T1	PF08356
HAX54_000523-T1	PF00344
HAX54_000525-T1	PF01988
HAX54_000526-T1	PF00072
HAX54_000526-T1	PF00249
HAX54_000526-T1	PF04607
HAX54_000526-T1	PF13328
HAX54_000527-T1	PF00025
HAX54_000528-T1	PF03810
HAX54_000528-T1	PF08389
HAX54_000528-T1	PF08767
HAX54_000528-T1	PF18777
HAX54_000528-T1	PF18784
HAX54_000528-T1	PF18787
HAX54_000529-T1	PF13639
HAX54_000530-T1	PF05071
HAX54_000534-T1	PF00097
HAX54_000535-T1	PF00097
HAX54_000540-T1	PF04739
HAX54_000540-T1	PF16561
HAX54_000541-T1	PF00190
HAX54_000543-T1	PF00190
HAX54_000544-T1	PF00069
HAX54_000545-T1	PF01535
HAX54_000545-T1	PF17177
HAX54_000547-T1	PF00153
HAX54_000549-T1	PF02183
HAX54_000553-T1	PF00270
HAX54_000553-T1	PF00271
HAX54_000553-T1	PF13959
HAX54_000554-T1	PF12174
HAX54_000555-T1	PF07816
HAX54_000564-T1	PF01218
HAX54_000566-T1	PF00134
HAX54_000566-T1	PF02984
HAX54_000570-T1	PF04134
HAX54_000572-T1	PF10391
HAX54_000572-T1	PF14716
HAX54_000572-T1	PF14791
HAX54_000572-T1	PF14792
HAX54_000573-T1	PF00533
HAX54_000574-T1	PF00270
HAX54_000574-T1	PF00271
HAX54_000575-T1	PF00201
HAX54_000581-T1	PF04864
HAX54_000583-T1	PF01277
HAX54_000584-T1	PF01370
HAX54_000586-T1	PF14368
HAX54_000587-T1	PF11705
HAX54_000588-T1	PF05919
HAX54_000596-T1	PF02234
HAX54_000601-T1	PF00481
HAX54_000604-T1	PF09335
HAX54_000605-T1	PF00281
HAX54_000605-T1	PF00673
HAX54_000606-T1	PF04844
HAX54_000607-T1	PF00226
HAX54_000607-T1	PF13370
HAX54_000608-T1	PF07939
HAX54_000616-T1	PF00544
HAX54_000617-T1	PF00443
HAX54_000620-T1	PF00240
HAX54_000620-T1	PF00443
HAX54_000621-T1	PF01778
HAX54_000623-T1	PF01477
HAX54_000624-T1	PF01477
HAX54_000626-T1	PF00069
HAX54_000629-T1	PF00226
HAX54_000629-T1	PF14901
HAX54_000631-T1	PF01250
HAX54_000632-T1	PF01535
HAX54_000632-T1	PF12854
HAX54_000632-T1	PF13041
HAX54_000632-T1	PF13812
HAX54_000634-T1	PF03283
HAX54_000635-T1	PF03283
HAX54_000640-T1	PF13637
HAX54_000640-T1	PF13857
HAX54_000641-T1	PF14368
HAX54_000644-T1	PF00153
HAX54_000644-T1	PF13405
HAX54_000645-T1	PF00153
HAX54_000651-T1	PF00400
HAX54_000652-T1	PF00400
HAX54_000653-T1	PF06760
HAX54_000653-T1	PF07714
HAX54_000655-T1	PF00847
HAX54_000657-T1	PF00179
HAX54_000658-T1	PF00069
HAX54_000658-T1	PF08263
HAX54_000658-T1	PF13855
HAX54_000660-T1	PF01263
HAX54_000662-T1	PF01762
HAX54_000663-T1	PF01991
HAX54_000664-T1	PF00009
HAX54_000664-T1	PF11987
HAX54_000665-T1	PF00005
HAX54_000665-T1	PF00664
HAX54_000667-T1	PF00393
HAX54_000667-T1	PF03446
HAX54_000668-T1	PF06697
HAX54_000669-T1	PF00651
HAX54_000669-T1	PF07707
HAX54_000672-T1	PF00999
HAX54_000673-T1	PF00999
HAX54_000675-T1	PF02517
HAX54_000677-T1	PF00004
HAX54_000677-T1	PF17862
HAX54_000678-T1	PF02453
HAX54_000680-T1	PF00652
HAX54_000683-T1	PF08030
HAX54_000684-T1	PF08022
HAX54_000684-T1	PF08414
HAX54_000690-T1	PF01535
HAX54_000690-T1	PF12854
HAX54_000690-T1	PF13041
HAX54_000690-T1	PF14432
HAX54_000691-T1	PF00069
HAX54_000693-T1	PF00069
HAX54_000694-T1	PF00188
HAX54_000695-T1	PF00188
HAX54_000696-T1	PF05057
HAX54_000697-T1	PF14541
HAX54_000698-T1	PF00076
HAX54_000698-T1	PF00658
HAX54_000700-T1	PF01554
HAX54_000706-T1	PF02179
HAX54_000707-T1	PF01585
HAX54_000711-T1	PF04564
HAX54_000711-T1	PF07714
HAX54_000713-T1	PF00225
HAX54_000713-T1	PF12836
HAX54_000715-T1	PF03171
HAX54_000715-T1	PF14226
HAX54_000717-T1	PF01764
HAX54_000717-T1	PF03893
HAX54_000718-T1	PF01158
HAX54_000721-T1	PF05383
HAX54_000722-T1	PF05383
HAX54_000723-T1	PF00646
HAX54_000724-T1	PF00646
HAX54_000726-T1	PF00646
HAX54_000726-T1	PF07734
HAX54_000734-T1	PF02978
HAX54_000735-T1	PF00448
HAX54_000735-T1	PF02881
HAX54_000740-T1	PF13442
HAX54_000741-T1	PF01040
HAX54_000742-T1	PF07244
HAX54_000747-T1	PF07911
HAX54_000749-T1	PF08590
HAX54_000753-T1	PF14543
HAX54_000762-T1	PF00069
HAX54_000765-T1	PF11926
HAX54_000766-T1	PF13639
HAX54_000767-T1	PF13637
HAX54_000773-T1	PF03195
HAX54_000775-T1	PF00759
HAX54_000776-T1	PF00728
HAX54_000776-T1	PF14845
HAX54_000779-T1	PF07859
HAX54_000780-T1	PF00076
HAX54_000781-T1	PF01585
HAX54_000783-T1	PF04499
HAX54_000784-T1	PF00400
HAX54_000785-T1	PF01633
HAX54_000786-T1	PF02373
HAX54_000786-T1	PF02375
HAX54_000786-T1	PF02928
HAX54_000786-T1	PF05964
HAX54_000786-T1	PF05965
HAX54_000787-T1	PF04535
HAX54_000788-T1	PF06943
HAX54_000789-T1	PF01699
HAX54_000790-T1	PF01565
HAX54_000790-T1	PF08031
HAX54_000791-T1	PF01055
HAX54_000791-T1	PF13802
HAX54_000791-T1	PF16863
HAX54_000792-T1	PF07928
HAX54_000792-T1	PF14938
HAX54_000794-T1	PF00082
HAX54_000794-T1	PF17766
HAX54_000795-T1	PF00082
HAX54_000795-T1	PF05922
HAX54_000796-T1	PF06026
HAX54_000797-T1	PF04178
HAX54_000798-T1	PF00067
HAX54_000807-T1	PF07714
HAX54_000807-T1	PF08263
HAX54_000810-T1	PF00010
HAX54_000810-T1	PF13740
HAX54_000811-T1	PF00928
HAX54_000812-T1	PF03479
HAX54_000818-T1	PF03357
HAX54_000826-T1	PF01399
HAX54_000827-T1	PF13320
HAX54_000828-T1	PF00096
HAX54_000844-T1	PF00484
HAX54_000846-T1	PF04979
HAX54_000858-T1	PF03358
HAX54_000859-T1	PF00169
HAX54_000860-T1	PF01535
HAX54_000860-T1	PF13041
HAX54_000860-T1	PF14432
HAX54_000861-T1	PF00069
HAX54_000862-T1	PF01255
HAX54_000862-T1	PF08263
HAX54_000863-T1	PF03004
HAX54_000882-T1	PF01602
HAX54_000882-T1	PF09066
HAX54_000884-T1	PF14111
HAX54_000886-T1	PF12717
HAX54_000887-T1	PF01602
HAX54_000888-T1	PF00067
HAX54_000889-T1	PF00067
HAX54_000890-T1	PF07714
HAX54_000891-T1	PF00400
HAX54_000896-T1	PF00076
HAX54_000897-T1	PF02705
HAX54_000899-T1	PF00122
HAX54_000899-T1	PF00403
HAX54_000899-T1	PF00702
HAX54_000900-T1	PF12315
HAX54_000901-T1	PF12315
HAX54_000902-T1	PF01786
HAX54_000903-T1	PF00612
HAX54_000903-T1	PF01833
HAX54_000903-T1	PF03859
HAX54_000904-T1	PF00443
HAX54_000905-T1	PF06454
HAX54_000906-T1	PF00481
HAX54_000908-T1	PF00656
HAX54_000909-T1	PF00656
HAX54_000910-T1	PF00656
HAX54_000912-T1	PF00226
HAX54_000912-T1	PF00684
HAX54_000912-T1	PF01556
HAX54_000915-T1	PF00201
HAX54_000916-T1	PF00201
HAX54_000917-T1	PF03060
HAX54_000918-T1	PF04674
HAX54_000919-T1	PF01474
HAX54_000920-T1	PF00005
HAX54_000920-T1	PF01061
HAX54_000921-T1	PF00005
HAX54_000921-T1	PF01061
HAX54_000922-T1	PF00005
HAX54_000923-T1	PF01061
HAX54_000924-T1	PF12796
HAX54_000925-T1	PF02900
HAX54_000926-T1	PF00331
HAX54_000926-T1	PF02018
HAX54_000927-T1	PF04791
HAX54_000928-T1	PF00493
HAX54_000928-T1	PF17207
HAX54_000929-T1	PF00939
HAX54_000930-T1	PF00925
HAX54_000930-T1	PF00926
HAX54_000932-T1	PF02458
HAX54_000933-T1	PF02458
HAX54_000934-T1	PF02458
HAX54_000936-T1	PF02458
HAX54_000937-T1	PF02458
HAX54_000940-T1	PF00332
HAX54_000942-T1	PF01595
HAX54_000948-T1	PF07127
HAX54_000949-T1	PF04719
HAX54_000951-T1	PF14226
HAX54_000954-T1	PF00415
HAX54_000955-T1	PF00415
HAX54_000956-T1	PF00282
HAX54_000957-T1	PF00240
HAX54_000957-T1	PF02179
HAX54_000958-T1	PF00201
HAX54_000959-T1	PF03662
HAX54_000960-T1	PF00153
HAX54_000961-T1	PF01433
HAX54_000961-T1	PF11940
HAX54_000961-T1	PF17432
HAX54_000964-T1	PF03080
HAX54_000964-T1	PF14365
HAX54_000966-T1	PF02214
HAX54_000968-T1	PF03479
HAX54_000972-T1	PF01399
HAX54_000972-T1	PF18098
HAX54_000973-T1	PF00847
HAX54_000974-T1	PF00317
HAX54_000974-T1	PF02867
HAX54_000974-T1	PF03477
HAX54_000975-T1	PF04367
HAX54_000976-T1	PF07714
HAX54_000983-T1	PF01612
HAX54_000984-T1	PF01612
HAX54_000986-T1	PF09597
HAX54_000997-T1	PF01565
HAX54_001000-T1	PF04030
HAX54_001006-T1	PF01214
HAX54_001007-T1	PF03083
HAX54_001008-T1	PF03083
HAX54_001009-T1	PF01535
HAX54_001009-T1	PF13041
HAX54_001009-T1	PF13812
HAX54_001010-T1	PF00155
HAX54_001016-T1	PF08030
HAX54_001017-T1	PF03134
HAX54_001017-T1	PF12874
HAX54_001019-T1	PF00195
HAX54_001019-T1	PF02797
HAX54_001020-T1	PF03492
HAX54_001024-T1	PF00931
HAX54_001025-T1	PF00067
HAX54_001038-T1	PF00011
HAX54_001046-T1	PF00400
HAX54_001046-T1	PF12894
HAX54_001051-T1	PF10350
HAX54_001053-T1	PF00005
HAX54_001053-T1	PF00664
HAX54_001057-T1	PF00069
HAX54_001058-T1	PF00012
HAX54_001060-T1	PF02458
HAX54_001063-T1	PF13881
HAX54_001064-T1	PF10358
HAX54_001066-T1	PF00612
HAX54_001066-T1	PF13178
HAX54_001072-T1	PF01397
HAX54_001072-T1	PF03936
HAX54_001075-T1	PF01397
HAX54_001075-T1	PF03936
HAX54_001078-T1	PF01061
HAX54_001079-T1	PF00005
HAX54_001080-T1	PF01061
HAX54_001089-T1	PF00112
HAX54_001091-T1	PF00069
HAX54_001092-T1	PF00625
HAX54_001093-T1	PF00112
HAX54_001093-T1	PF08246
HAX54_001094-T1	PF11955
HAX54_001095-T1	PF00560
HAX54_001095-T1	PF07714
HAX54_001095-T1	PF13855
HAX54_001096-T1	PF00069
HAX54_001097-T1	PF03942
HAX54_001098-T1	PF00626
HAX54_001098-T1	PF02209
HAX54_001100-T1	PF00382
HAX54_001100-T1	PF08271
HAX54_001101-T1	PF00201
HAX54_001102-T1	PF00201
HAX54_001103-T1	PF00201
HAX54_001104-T1	PF00201
HAX54_001105-T1	PF00201
HAX54_001106-T1	PF12928
HAX54_001107-T1	PF03151
HAX54_001108-T1	PF00194
HAX54_001109-T1	PF03647
HAX54_001110-T1	PF00154
HAX54_001111-T1	PF00612
HAX54_001111-T1	PF13178
HAX54_001112-T1	PF03140
HAX54_001113-T1	PF01697
HAX54_001116-T1	PF00153
HAX54_001117-T1	PF00076
HAX54_001117-T1	PF16131
HAX54_001118-T1	PF00069
HAX54_001118-T1	PF00931
HAX54_001118-T1	PF07228
HAX54_001119-T1	PF01734
HAX54_001119-T1	PF11815
HAX54_001120-T1	PF13499
HAX54_001121-T1	PF00069
HAX54_001122-T1	PF00067
HAX54_001124-T1	PF03099
HAX54_001128-T1	PF00420
HAX54_001130-T1	PF13641
HAX54_001131-T1	PF01490
HAX54_001142-T1	PF00076
HAX54_001142-T1	PF02136
HAX54_001149-T1	PF02458
HAX54_001152-T1	PF00892
HAX54_001153-T1	PF00069
HAX54_001154-T1	PF00759
HAX54_001155-T1	PF05577
HAX54_001157-T1	PF13839
HAX54_001157-T1	PF14416
HAX54_001158-T1	PF07766
HAX54_001159-T1	PF00078
HAX54_001159-T1	PF01348
HAX54_001160-T1	PF06058
HAX54_001161-T1	PF06258
HAX54_001162-T1	PF06258
HAX54_001163-T1	PF04535
HAX54_001164-T1	PF00160
HAX54_001165-T1	PF00515
HAX54_001165-T1	PF13181
HAX54_001165-T1	PF13374
HAX54_001165-T1	PF13844
HAX54_001166-T1	PF00515
HAX54_001168-T1	PF04133
HAX54_001169-T1	PF00106
HAX54_001171-T1	PF04520
HAX54_001172-T1	PF00787
HAX54_001172-T1	PF09325
HAX54_001176-T1	PF00411
HAX54_001177-T1	PF00251
HAX54_001177-T1	PF08244
HAX54_001179-T1	PF00251
HAX54_001179-T1	PF08244
HAX54_001181-T1	PF01535
HAX54_001181-T1	PF13041
HAX54_001181-T1	PF14432
HAX54_001182-T1	PF00225
HAX54_001183-T1	PF00542
HAX54_001184-T1	PF03171
HAX54_001184-T1	PF14226
HAX54_001185-T1	PF03171
HAX54_001185-T1	PF14226
HAX54_001187-T1	PF03171
HAX54_001189-T1	PF02519
HAX54_001192-T1	PF01535
HAX54_001192-T1	PF13041
HAX54_001194-T1	PF00448
HAX54_001196-T1	PF08387
HAX54_001197-T1	PF00005
HAX54_001198-T1	PF00076
HAX54_001200-T1	PF00646
HAX54_001201-T1	PF00462
HAX54_001204-T1	PF00194
HAX54_001205-T1	PF13417
HAX54_001206-T1	PF14009
HAX54_001207-T1	PF14009
HAX54_001208-T1	PF04182
HAX54_001209-T1	PF01535
HAX54_001209-T1	PF13041
HAX54_001209-T1	PF14432
HAX54_001210-T1	PF00583
HAX54_001211-T1	PF00687
HAX54_001212-T1	PF00179
HAX54_001214-T1	PF00067
HAX54_001216-T1	PF00657
HAX54_001217-T1	PF01156
HAX54_001218-T1	PF03847
HAX54_001229-T1	PF13041
HAX54_001232-T1	PF00076
HAX54_001234-T1	PF15996
HAX54_001236-T1	PF07690
HAX54_001237-T1	PF00179
HAX54_001238-T1	PF00348
HAX54_001239-T1	PF00348
HAX54_001240-T1	PF00348
HAX54_001241-T1	PF00348
HAX54_001245-T1	PF00067
HAX54_001246-T1	PF00098
HAX54_001248-T1	PF00022
HAX54_001254-T1	PF00046
HAX54_001259-T1	PF00407
HAX54_001261-T1	PF16908
HAX54_001265-T1	PF00069
HAX54_001265-T1	PF08263
HAX54_001265-T1	PF13855
HAX54_001266-T1	PF00538
HAX54_001274-T1	PF00067
HAX54_001278-T1	PF13639
HAX54_001279-T1	PF13639
HAX54_001280-T1	PF02221
HAX54_001282-T1	PF07714
HAX54_001284-T1	PF00332
HAX54_001284-T1	PF07983
HAX54_001289-T1	PF00909
HAX54_001293-T1	PF13639
HAX54_001298-T1	PF00856
HAX54_001301-T1	PF00085
HAX54_001303-T1	PF00856
HAX54_001303-T1	PF17907
HAX54_001308-T1	PF00854
HAX54_001309-T1	PF00579
HAX54_001311-T1	PF00439
HAX54_001311-T1	PF00628
HAX54_001311-T1	PF02791
HAX54_001311-T1	PF05965
HAX54_001311-T1	PF15612
HAX54_001311-T1	PF15613
HAX54_001317-T1	PF10369
HAX54_001318-T1	PF01842
HAX54_001318-T1	PF10369
HAX54_001324-T1	PF07168
HAX54_001331-T1	PF00294
HAX54_001336-T1	PF10458
HAX54_001342-T1	PF07767
HAX54_001343-T1	PF06839
HAX54_001345-T1	PF01179
HAX54_001345-T1	PF02727
HAX54_001345-T1	PF02728
HAX54_001353-T1	PF02365
HAX54_001354-T1	PF13839
HAX54_001354-T1	PF14416
HAX54_001355-T1	PF13839
HAX54_001355-T1	PF14416
HAX54_001356-T1	PF09811
HAX54_001357-T1	PF07839
HAX54_001360-T1	PF13086
HAX54_001360-T1	PF13087
HAX54_001360-T1	PF16399
HAX54_001361-T1	PF05804
HAX54_001362-T1	PF02714
HAX54_001362-T1	PF13967
HAX54_001362-T1	PF14703
HAX54_001363-T1	PF00380
HAX54_001365-T1	PF01095
HAX54_001366-T1	PF00274
HAX54_001369-T1	PF00274
HAX54_001370-T1	PF00643
HAX54_001371-T1	PF00903
HAX54_001374-T1	PF00225
HAX54_001377-T1	PF11995
HAX54_001379-T1	PF00069
HAX54_001379-T1	PF08263
