#seq_name	length	cov.	circ.	repeat	mult.	graph_path
contig_144	116927	4	-	-	1	9289,144,*
contig_145	69574	4	-	-	1	145,*
contig_146	305864	4	-	-	1	*,146
contig_147	257153	3	-	-	1	147,*
contig_148	80089	6	-	-	1	*,148,14701
contig_149	211429	3	-	-	1	2438,-8922,149,*
contig_150	66233	4	-	-	1	*,150,*
contig_151	142664	4	-	-	1	*,151,*
contig_152	99127	6	-	-	1	5072,7233,152,*
contig_153	81344	4	-	-	1	*,153,*
contig_154	509	4	-	+	1	154
contig_155	68081	4	-	-	1	-8780,14752,155,-264
contig_156	1401	4	-	+	1	156
contig_157	69131	4	-	-	1	*,157,*
contig_158	76365	4	-	-	1	9993,158,14412,-5833,10168,*
contig_159	111502	4	-	-	1	*,159,-7371,5049,11152
contig_160	201461	6	-	-	1	-2685,160,*
contig_161	75266	3	-	-	1	*,161,9851
contig_162	60875	2	-	-	1	*,162,*
contig_163	15270	4	-	+	1	163
contig_164	75822	4	-	-	1	164
contig_165	271462	4	-	-	1	*,165,13397
contig_167	134215	4	-	-	1	*,167,*
contig_168	69939	5	-	-	1	*,168,*
contig_169	92226	4	-	-	1	-14855,-6299,6640,-5900,-6531,169,*
contig_170	114439	4	-	-	1	-12169,-15083,-15083,-15083,3264,-8086,-8086,-15083,170
contig_171	107214	5	-	-	1	-11537,-6448,171,*
contig_172	177393	3	-	-	1	*,172,*
contig_173	56008	3	-	-	1	*,173
contig_174	361979	4	-	-	1	*,174,*
contig_175	166564	3	-	-	1	*,175,*
contig_176	46163	6	-	-	1	176,6772,-8688,*
contig_177	63791	4	-	-	1	-7418,-7418,-7418,6261,8806,177,8909
contig_178	64856	4	-	-	1	*,178,-8473,-5140,-13596
contig_179	763	9	-	+	2	179
contig_180	134605	4	-	-	1	180
contig_181	40198	4	-	-	1	181,-13812
contig_182	164378	4	-	-	1	-3130,-9700,-9700,4176,4176,182,-5125
contig_183	161852	5	-	-	1	-12468,183,*
contig_184	106613	4	-	-	1	*,184,*
contig_185	258468	4	-	-	1	*,185,7559
contig_186	206543	5	-	-	1	*,186,-8517,-7674,-9221,-8357,13428,-2038
contig_187	86165	3	-	-	1	*,187,*
contig_188	104015	4	-	-	1	*,188
contig_189	93477	4	-	-	1	*,189
contig_190	166464	4	-	-	1	*,190
contig_191	111880	5	-	-	1	-2789,191,*
contig_192	26717	6	-	-	1	192,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331
contig_193	139249	4	-	-	1	11420,-1663,-7234,-7234,-7234,13653,13653,13653,13653,13653,-14776,-6350,-13849,-604,-604,6641,-13091,193,-8987,8291
contig_194	132929	4	-	-	1	-11316,194,-6306,-6706
contig_195	240900	4	-	-	1	195,-8872
contig_196	54568	3	-	-	1	-7948,196,*
contig_197	113526	4	-	-	1	197,*
contig_198	83606	3	-	-	1	331,331,331,331,331,331,331,331,331,331,331,331,331,331,198,*
contig_199	140924	4	-	-	1	-6803,-2283,-11203,-6668,199,*
contig_200	80257	3	-	-	1	15056,200,*
contig_201	237471	3	-	-	1	201,*
contig_202	72316	5	-	-	1	202
contig_203	160223	3	-	-	1	13653,13653,13653,13653,13653,-14776,-6350,-13849,-604,-604,6641,-13091,203,*
contig_204	28922	3	-	-	1	-14988,-14988,5267,204
contig_205	181156	4	-	-	1	7149,205,*
contig_207	79798	4	-	-	1	*,207,*
contig_208	160762	6	-	-	1	*,208,-11491
contig_209	161169	4	-	-	1	*,209,-8587
contig_211	132793	5	-	-	1	*,211,*
contig_212	83441	4	-	-	1	*,212
contig_213	104539	4	-	-	1	*,213
contig_214	130929	4	-	-	1	9221,7674,7674,12750,2038,-13428,8357,9221,7674,7674,12750,2038,-13428,8357,8357,9221,7674,214,*
contig_216	89385	4	-	-	1	*,216
contig_217	180089	5	-	-	1	*,217,-6678
contig_219	81751	6	-	-	1	*,219,4549
contig_220	127465	4	-	-	1	220,*
contig_221	68839	3	-	-	1	7334,221,*
contig_222	140270	4	-	-	1	*,222,*
contig_223	441899	5	-	-	1	*,223,12822,12822,12822,12822,12822
contig_224	132525	4	-	-	1	*,224,*
contig_226	247874	4	-	-	1	226,10629,-9736
contig_227	67619	4	-	-	1	*,227
contig_228	121996	4	-	-	1	-6098,228,6584,6869,-4722,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656
contig_229	79326	4	-	-	1	*,229
contig_230	9078	5	-	-	1	*,230,*
contig_231	97351	6	-	-	1	10804,-14930,-14930,-14930,-14930,-14930,-14930,-14930,-14930,-14930,-14930,231,10352,2239
contig_232	203630	4	-	-	1	2438,-8922,232,*
contig_233	222445	4	-	-	1	*,233,-13695
contig_234	24622	5	-	-	1	*,234,-5346
contig_235	156616	4	-	-	1	*,235,-14815
contig_236	180070	4	-	-	1	*,236,*
contig_237	44115	5	-	-	1	11888,-13623,14881,13623,237,*
contig_238	76374	3	-	-	1	*,238
contig_239	167966	6	-	-	1	-11606,14959,239,*
contig_240	877193	6	-	-	1	-2477,11605,240,*
contig_241	83991	3	-	-	1	-2542,241,-11508
contig_242	87659	3	-	-	1	*,242,*
contig_243	185618	4	-	-	1	*,243,*
contig_244	139497	4	-	-	1	244,*
contig_245	106332	4	-	-	1	*,245
contig_247	42840	4	-	+	1	*,247
contig_248	123575	4	-	-	1	*,248,-7646,-7646,-5525
contig_249	80091	5	-	-	1	*,249
contig_250	103649	4	-	-	1	250,*
contig_251	405099	5	-	-	1	12511,251,*
contig_252	52288	4	-	-	1	-8131,9011,331,331,331,331,331,331,331,252,13091,-6641,604,13849,6350,6350,14776,-13653,-13653,-13653,7624,9143
contig_253	109359	5	-	-	1	*,253,-1877
contig_254	68820	4	-	-	1	-9366,254,*
contig_255	56214	4	-	-	1	*,255,-7674,-9221,-8357,-8357,13428,-2038,-13812
contig_256	157261	3	-	-	1	256,-7674,-9221,-8357,13428,-2038,13071,-7674,-7674,13743,-13885
contig_257	143890	4	-	-	1	-8024,15155,257,14320,4602
contig_258	166555	3	-	-	1	*,258,*
contig_259	290387	4	-	-	1	*,259,*
contig_260	92840	5	-	-	1	-11284,260
contig_261	44761	5	-	-	1	261,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331,-331
contig_262	129294	4	-	-	1	262,-6827
contig_263	59927	4	-	-	1	263
contig_265	92124	4	-	-	1	*,265
contig_266	82977	4	-	-	1	266,7818
contig_267	223272	4	-	-	1	12238,267,-4500
contig_268	61591	5	-	-	1	*,268,*
contig_269	515	44	-	+	7	269
contig_270	114266	3	-	-	1	270,*
contig_271	90729	3	-	-	1	13088,271,5230
contig_272	153926	3	-	-	1	-7886,272
contig_273	154402	4	-	-	1	9378,273,*
contig_274	101494	4	-	-	1	274,1582
contig_276	153399	5	-	-	1	-6400,7584,1458,276,11135,*
contig_277	156841	4	-	-	1	277,5874,-6155,14204,12918,11487
contig_278	172436	4	-	-	1	278
contig_279	39765	5	-	-	1	279
contig_280	103206	4	-	-	1	*,280,2192
contig_281	138702	3	-	-	1	*,281,*
contig_282	163612	2	-	-	1	*,282,-7513
contig_283	151672	6	-	-	1	-11343,-11343,-11343,-6869,-11343,5750,12238,-9988,-11343,-11343,11566,-11343,11566,-6495,-11343,-11343,-11343,-11343,11566,-13177,283,6449
contig_284	228895	4	-	-	1	*,284,-9793,*
contig_285	89957	5	-	-	1	*,8527,285,-11689
contig_286	92386	3	-	-	1	*,286,-12172,5897
contig_288	58894	4	-	-	1	-7105,5833,-14412,288
contig_289	63347	4	-	-	1	*,289,*
contig_290	77314	3	-	-	1	*,290,*
contig_292	89029	4	-	-	1	*,292
contig_293	52658	3	-	-	1	*,293,10158
contig_295	129454	3	-	-	1	*,295,-7753
contig_296	16965	6	-	-	1	*,296,*
contig_297	91823	4	-	-	1	*,297
contig_298	139866	5	-	-	1	298,*
contig_299	53317	4	-	-	1	14312,7636,-13280,-7909,-6643,299
contig_300	233030	4	-	-	1	10453,8378,300,*
contig_301	108257	4	-	-	1	301,4535,11906
contig_302	168732	3	-	-	1	*,302,*
contig_303	70883	3	-	-	1	*,303
contig_304	98221	5	-	-	1	7102,-10789,304,*
contig_305	65312	4	-	-	1	305,*
contig_306	520	3	-	+	1	306
contig_307	42553	3	-	-	1	*,307,-14000
contig_309	105955	4	-	-	1	-7369,-14268,12862,309,-3509,7418,7418,7418,7418
contig_310	73670	3	-	-	1	*,310,2749
contig_311	118704	5	-	-	1	*,311,*
contig_312	56041	3	-	-	1	312,-11359
contig_313	298925	4	-	-	1	-7158,6656,6656,6656,6656,6656,6656,313,*
contig_314	130887	5	-	-	1	-12822,-12822,-12822,-12822,-12822,-12822,-12822,-12822,-12822,-12822,314,*
contig_315	222122	5	-	-	1	*,315,*
contig_318	28536	3	-	-	1	*,318
contig_319	316395	4	-	-	1	-11284,319,*
contig_320	96906	4	-	-	1	-8826,12112,10645,-6453,-2896,-11578,-6139,-8826,320,*
contig_321	186292	4	-	-	1	321,14582,*
contig_322	229237	3	-	-	1	322,*
contig_323	195297	4	-	-	1	323
contig_324	180048	3	-	-	1	*,324,-6445,-12899
contig_325	276752	4	-	-	1	-11745,-7467,6171,6656,6656,6656,6656,6656,6656,325,*
contig_327	64261	4	-	-	1	-4936,327,*
contig_328	81659	5	-	-	1	-14914,328,*
contig_329	95238	4	-	-	1	*,2000,329,*
contig_330	161191	4	-	-	1	330,-10128
contig_332	199579	4	-	-	1	-14930,-14930,-14930,-14930,-14930,-14930,-7118,-14930,-14930,6692,332,*
contig_333	83122	3	-	-	1	*,333,*
contig_334	57197	4	-	-	1	*,334,*
contig_335	70921	4	-	-	1	-7611,335,*
contig_336	99257	3	-	-	1	336,*
contig_339	455948	5	-	-	1	*,339,*
contig_340	85853	3	-	-	1	5797,340,*
contig_341	75056	4	-	-	1	*,341
contig_342	38574	5	-	-	1	*,342,*
contig_343	98782	3	-	-	1	*,343
contig_344	160031	5	-	-	1	*,344,*
contig_345	71661	5	-	-	1	*,345
contig_346	100836	5	-	-	1	*,346,*
contig_347	59883	5	-	-	1	6198,347,*
contig_348	136086	4	-	-	1	*,10520,-11578,-6139,-8826,-8331,348,-6656,-6656,-6656,-6656,-6656,-6656,-6861,-6656,-6656,-6656,-6656,-6656,-6656,-6656,-6656,7821
contig_349	80411	3	-	-	1	*,12189,349,-8816,*
contig_350	4832	3	-	-	1	*,350,*
contig_351	44997	6	-	-	1	351,*
contig_352	117440	3	-	-	1	352,*
contig_353	49921	4	-	-	1	*,353,10807,-8846,-9246,-2524,-4282
contig_354	51271	4	-	-	1	354,*
contig_355	623826	4	-	-	1	8493,8646,-11006,9400,-13047,-5804,11322,4039,-12072,-10985,13914,355,*
contig_356	242056	6	-	-	1	*,356,2422,2422,*
contig_357	45648	3	-	-	1	*,357,*
contig_358	33436	3	-	-	1	-5302,358,-10083
contig_359	29612	3	-	-	1	*,359
contig_360	156547	4	-	-	1	360,10504
contig_361	119929	4	-	-	1	-9385,-13655,361,13655,9385
contig_362	29088	3	-	-	1	2335,-7010,-7010,362,*
contig_363	214264	3	-	-	1	*,363,*
contig_364	121061	3	-	-	1	364
contig_365	169513	3	-	-	1	365,*
contig_366	139375	6	-	-	1	*,8272,366,-246
contig_367	106520	4	-	-	1	*,367,*
contig_368	100560	5	-	-	1	368,*
contig_369	104160	4	-	-	1	6578,369,-6103,-5107
contig_370	114481	4	-	-	1	370,-331,-331,-331,-331,-331,-331,-331,-331,-4634
contig_371	47570	6	-	-	1	*,371,*
contig_372	129385	4	-	-	1	*,372,*
contig_373	109854	3	-	-	1	-7234,-7234,13653,13653,13653,13653,13653,-14776,-6350,-6350,-13849,-604,-6934,373,9438
contig_374	138923	4	-	-	1	*,374,*
contig_375	119498	4	-	-	1	-11578,-6139,-8826,-8331,375,*
contig_376	117106	4	-	-	1	*,376
contig_377	72806	4	-	-	1	377,*
contig_378	156686	4	-	-	1	378,*
contig_379	92871	3	-	-	1	6646,-5708,379
contig_380	132596	5	-	-	1	-5968,13413,380,-8757
contig_381	74549	3	-	-	1	381,*
contig_382	85000	4	-	-	1	*,382,*
contig_383	75490	6	-	-	1	383,*
contig_384	83515	3	-	-	1	*,384,-5083,12918,11487,-6688,1625
contig_385	209170	5	-	-	1	*,385,2722
contig_386	77385	3	+	-	1	386
contig_387	106876	4	-	-	1	387,*
contig_388	18298	5	-	-	1	*,388
contig_389	168244	3	-	-	1	*,389,5702,15132,-12235
contig_390	57410	4	-	-	1	*,390,*
contig_391	98924	5	-	-	1	*,391
contig_392	151799	5	-	-	1	392,*
contig_393	675535	5	-	-	1	*,-13592,393,-5949,-14063
contig_394	31231	4	-	-	1	*,394,*
contig_395	280529	3	-	-	1	395,10629
contig_396	20882	9	-	+	2	396
contig_397	262442	3	-	-	1	*,397
contig_398	228880	5	-	-	1	-13724,398,*
contig_399	293425	4	-	-	1	*,399,-1879
contig_400	45740	7	-	-	1	*,400,*
contig_401	149183	4	-	-	1	*,401,*
contig_402	116782	4	-	-	1	*,402,*
contig_403	123640	3	-	-	1	403,*
contig_404	65475	3	-	-	1	*,404
contig_405	329103	4	-	-	1	*,405,-7795,-12594
contig_406	58761	4	-	-	1	*,406,*
contig_407	17832	4	-	-	1	*,407,11403
contig_408	69856	3	-	-	1	*,408,2971,*
contig_409	160509	3	-	-	1	*,409,*
contig_411	89274	4	-	-	1	*,411,-14030,-5637
contig_412	72745	4	-	-	1	*,412,*
contig_413	19060	3	-	-	1	6656,6656,6656,6656,6656,6656,6656,6656,6656,6656,413,-7385,-4309
contig_414	149447	3	-	-	1	-12058,414,9910,-10249,*
contig_415	157067	4	-	-	1	*,415
contig_416	95806	4	-	-	1	*,416,*
contig_417	226073	3	-	-	1	*,417,*
contig_418	93473	4	-	-	1	*,418,-13946,-7986
contig_419	126171	4	-	-	1	2558,7638,9252,419,11741
contig_420	5022	5	-	-	1	*,420,*
scaffold_421	468939	5	-	-	1	*,421,13979,13979,13979,??,-2312
contig_422	94072	3	-	-	1	422,*
contig_423	65405	3	-	-	1	*,10151,423,*
contig_424	29979	5	-	-	1	*,424,*
contig_425	282255	4	-	-	1	*,425,*
contig_426	11405	4	-	-	1	426,*
contig_427	93548	4	-	-	1	*,427,*
contig_428	156264	3	-	-	1	*,428,*
contig_429	38772	3	-	-	1	*,429,*
contig_430	363554	5	-	-	1	*,430,-10421,-11911,14563,-10524,7541
contig_432	16992	4	-	-	1	*,432,13283
contig_433	42890	6	-	-	1	*,433,-13852
contig_434	185306	6	-	-	1	*,434,13825,8551
contig_435	51021	6	-	-	1	*,435,*
contig_436	74518	5	-	-	1	11690,436,*
contig_437	250149	3	-	-	1	*,437,*
contig_438	203570	3	-	-	1	*,438,*
contig_439	119924	4	-	-	1	*,439,*
contig_440	81633	3	-	-	1	9492,440,*
contig_441	67052	4	-	-	1	*,441,*
contig_442	111043	3	-	-	1	442,*
contig_443	65583	4	-	-	1	443,-2013
contig_444	2936	3	-	-	1	*,444,*
contig_445	117417	5	-	-	1	-3882,445,*
contig_446	428466	5	-	-	1	*,446,5565
contig_447	131893	4	-	-	1	*,447,*
contig_448	228007	3	-	-	1	*,448,9747
contig_449	225367	4	-	-	1	*,449,*
contig_450	83416	5	-	-	1	450,14244,-11117,12068
contig_451	114579	5	-	-	1	*,451,14041,13286
contig_452	172542	4	-	-	1	*,452,-6117,8733,-5679
contig_453	71381	4	-	-	1	3422,453,-6336,-8473,-5140,-13596
contig_454	110292	5	-	-	1	*,454,*
contig_455	185514	3	-	-	1	4014,6656,6656,6656,6656,6656,6656,6656,6656,6217,455,*
contig_456	78473	4	-	-	1	456
contig_457	68359	5	-	-	1	457,-9573,9563
contig_458	241422	5	-	-	1	*,458,*
contig_459	94961	2	-	-	1	459,*
contig_460	8881	4	-	-	1	460
contig_461	77289	4	-	-	1	7827,461
contig_462	44546	4	-	-	1	462,*
contig_463	167134	3	-	-	1	463,*
contig_464	67256	3	-	-	1	2386,464,*
contig_465	139489	3	-	-	1	2795,465
contig_466	26334	5	+	-	1	466
contig_467	53756	4	-	-	1	467
contig_468	782013	5	-	-	1	*,468,*
contig_469	48470	5	-	-	1	-2150,469,*
contig_470	144744	3	-	-	1	14284,470,*
contig_471	69403	3	-	-	1	471,-7023,8915,-11503
contig_472	73323	3	-	-	1	*,472,*
contig_473	209338	4	-	-	1	*,473,*
contig_474	58640	3	-	-	1	*,474,-9305
contig_475	55673	5	-	-	1	475
contig_476	145587	4	-	-	1	*,476,*
contig_477	427780	5	-	-	1	*,477,*
contig_478	62539	3	-	-	1	*,478,*
contig_479	119088	4	-	-	1	479,-8795
contig_481	87616	4	-	-	1	*,481
contig_482	74165	3	-	-	1	-6972,-4577,15053,-4579,-15108,-11506,482,*
contig_483	89419	5	-	-	1	*,483
contig_484	173657	4	-	-	1	*,484,-13953,13181
contig_485	325241	4	-	-	1	*,485,*
contig_486	162945	4	-	-	1	*,486,*
contig_487	29850	4	-	-	1	-11537,-11537,-6448,14063,487
contig_488	30886	3	-	-	1	*,488,-12539
contig_489	112766	3	-	-	1	*,489,-13821,6935
contig_490	232197	3	-	-	1	*,490,*
contig_491	88365	3	-	-	1	491
contig_492	43415	4	-	-	1	-7611,492,*
contig_493	62368	5	-	-	1	*,493,*
contig_494	567	3	-	+	1	494
contig_495	100046	4	-	-	1	*,495,*
contig_496	96138	4	-	-	1	*,496,*
contig_497	130078	4	-	-	1	*,497,11742,*
contig_498	81001	5	-	-	1	11347,498,*
contig_499	82110	4	-	-	1	499,*
contig_500	99002	3	-	-	1	*,500,5779,-10090
contig_501	84573	3	-	-	1	8568,501
contig_502	198370	5	-	-	1	*,502
contig_503	159648	4	-	-	1	*,503,*
contig_504	27824	3	-	-	1	*,504,7331,14930,14930,14930,14930,14930,14930,14930,14930,14930
contig_505	115723	4	-	-	1	*,505,*
contig_506	33636	5	-	-	1	*,506,*
contig_507	104843	4	-	-	1	*,507,2426
contig_508	46472	4	-	-	1	508,*
contig_509	126416	4	-	-	1	*,509,*
contig_510	126122	4	-	-	1	*,510,*
contig_511	159703	4	-	-	1	*,511,*
contig_512	438566	4	-	-	1	*,512,*
contig_513	126385	3	-	-	1	513,-14063,6448,11537,13177,-7820,-4927,5425,13177
contig_514	88180	3	-	-	1	10402,6171,514,*
contig_515	62717	5	-	-	1	515
contig_516	56461	4	-	-	1	*,516
contig_517	40697	3	-	-	1	*,517,*
contig_518	141903	4	-	-	1	*,-14582,518,*
contig_519	288303	4	-	-	1	*,519,*
contig_520	120915	3	-	-	1	6245,12105,13527,-6224,-7786,-6416,6940,12569,-5439,520,5778
contig_521	45402	3	-	+	1	521
contig_522	219616	3	-	-	1	*,522,13091,-6641,604,13849,6350,14776,-13653,-13653,-13653,-13653,-13653,-13653,7234,7234,7234,1663,-11420,11345,2904
contig_523	155162	4	-	-	1	*,523
contig_524	75124	4	-	-	1	*,524,*
contig_525	125627	5	-	-	1	*,525,*
contig_526	167315	4	-	-	1	*,526,*
contig_527	262091	4	-	-	1	*,527,9039,*
contig_528	147066	3	-	-	1	-11008,528,*
contig_529	195224	5	-	-	1	*,529,*
contig_530	23328	3	-	-	1	530,*
contig_531	98872	4	-	-	1	531,-13719
contig_532	96522	4	-	-	1	*,532,*
contig_533	93530	4	-	-	1	533,*
contig_534	93336	4	-	-	1	-10049,-10049,-10049,-10049,-10049,-10049,534,*
contig_535	40120	6	-	-	1	-12709,-6897,535
contig_536	96456	4	-	-	1	*,536,*
contig_537	75239	4	-	-	1	12966,537
contig_538	98766	3	-	-	1	-9365,-10049,-10049,-10049,-10049,-10049,-10049,-10049,-10049,538,*
contig_539	96372	3	-	-	1	11566,-6495,-11343,-11343,-11343,-11343,-11343,-11343,-11343,-11343,-6869,-11343,-11343,539,*
contig_540	103852	5	-	-	1	-3019,540,*
contig_541	82060	3	-	-	1	541,*
