#seq_name	length	coverage	circular	repeat	mult	telomere	graph_path
contig_166	150119	4	-	-	1	left	166,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310,-13310
contig_168	411589	4	-	-	1	both	168
contig_169	142837	4	-	-	1	both	169,-14101
contig_171	38418	4	-	-	1	none	2328,13705,171,-12908
contig_173	201559	5	-	-	1	right	-637,173
contig_175	172875	3	-	-	1	both	175
contig_178	306768	5	-	-	1	both	178
contig_179	33286	6	-	-	1	right	6722,6722,6722,6722,-13234,179
contig_181	50728	4	-	-	1	both	181
contig_183	28737	7	-	-	1	right	3888,183
contig_184	30905	4	-	-	1	none	184
contig_185	139262	3	-	-	1	both	185
contig_186	66099	4	-	-	1	right	186
contig_187	62438	4	-	-	1	right	-4417,13517,187
contig_189	165199	3	-	-	1	none	-3976,-2602,3976,-12768,189,4902
contig_190	132267	4	-	-	1	both	190
contig_191	165089	4	-	-	1	both	191
contig_193	16084	6	-	-	1	none	13517,13517,13517,13517,13517,7166,13517,13517,13517,13517,193
contig_195	97601	4	-	-	1	left	195,-13517,-13517,12158,-13517,-13250,-13202,6041,6041,-9825
contig_197	105650	4	-	-	1	left	197,-8510
contig_198	5115	3	-	-	1	both	198
contig_199	57444	5	-	-	1	none	199,13289,-11037,-13517,-13517,-13517,-13517,-13517,-11037,-13517,-13517
contig_200	130615	3	-	-	1	right	200
contig_201	138508	5	-	-	1	both	-9483,201
contig_202	51415	4	-	-	1	both	202
contig_203	107056	3	-	-	1	both	203
contig_204	83037	3	-	-	1	left	204
contig_207	87897	3	-	-	1	both	207
contig_209	249690	4	-	-	1	left	209,5456,-9539
contig_212	228346	4	-	-	1	both	212
contig_213	240691	5	-	-	1	both	213
contig_214	261608	4	-	-	1	both	214
contig_216	149439	5	-	-	1	right	-4744,216
contig_217	88850	4	-	-	1	none	217
contig_218	59685	4	-	-	1	none	-9394,218,-13517,-13813,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-11346,8057,-13517,3385,-13517,-11346
contig_219	102827	3	-	-	1	left	219
contig_220	20271	4	-	-	1	none	8978,-13410,-13410,-13410,-13410,14094,9890,-10242,-13111,-13501,4815,4815,4815,2467,-2762,-35,220
contig_221	127194	5	-	-	1	none	19,221
contig_222	103299	4	-	-	1	both	-9871,222
contig_223	42394	3	-	-	1	right	223
contig_224	48693	3	-	-	1	both	224
contig_225	5603	5	-	-	1	none	225
contig_226	198191	4	-	-	1	right	226
contig_227	120950	4	-	-	1	none	7580,7580,-2024,-9889,12401,11170,227,-8626,6021,-11598,13461,-11971,-11971,-11971,-11971,-7347,-11971
contig_229	196379	4	-	-	1	right	-13410,-13410,-13410,-13410,14094,14094,9890,-10242,-13111,-13111,-13111,-13111,2084,-3221,10959,229
contig_230	89348	3	-	-	1	both	6958,230
contig_231	174092	3	-	-	1	both	231
contig_233	84657	3	-	-	1	right	13395,11598,8626,13329,13329,11971,11971,11971,11971,11971,11971,11971,-13461,13395,11598,8626,233
contig_234	85206	4	-	-	1	right	2675,234
contig_235	55912	3	-	-	1	left	-10940,235
contig_236	58081	5	-	-	1	none	236,13572
contig_240	167268	4	-	-	1	both	240
contig_241	184141	6	-	-	1	both	241
contig_242	9322	3	-	-	1	both	242
contig_243	75004	4	-	-	1	both	243
contig_245	545035	5	-	-	1	both	245
contig_246	345740	4	-	-	1	left	246
contig_248	46139	3	-	-	1	none	-1714,248
contig_249	13215	4	-	-	1	both	249
contig_250	77043	3	-	-	1	left	250,-10087,-8754,13619,-10015
contig_251	138169	4	-	-	1	both	251
contig_252	64772	3	-	-	1	none	252,-14094,13410,13410,10664,-9430
contig_254	80386	3	-	-	1	right	3564,254
contig_255	88379	4	-	-	1	right	255
contig_256	546350	4	-	-	1	right	-13550,256
contig_259	52858	3	-	-	1	right	-1336,259
contig_260	259455	4	-	-	1	both	260
contig_261	115179	3	-	-	1	left	261,8067,4283,-8548
contig_262	15851	3	-	-	1	none	262,-11292
contig_263	58082	5	-	-	1	both	263
contig_265	82534	3	-	-	1	right	4619,13517,13517,11499,13882,265
contig_266	80208	5	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,13517,-13422,13517,13191,266
contig_267	266460	5	-	-	1	both	267
contig_268	140288	4	-	-	1	both	268
contig_270	90470	4	-	-	1	left	270
contig_272	61288	4	-	-	1	right	-3587,-649,272
contig_273	139488	3	-	-	1	both	273
contig_274	39629	3	-	-	1	right	-1022,-9425,-9425,-9425,-9425,-9425,-9425,-13242,13125,274
contig_276	77764	6	-	-	1	both	276
contig_277	135262	4	-	-	1	right	277
contig_279	25509	5	-	-	1	none	279,-12810,3761,13457,-13442
contig_282	111981	3	-	-	1	both	282
contig_284	207373	4	-	-	1	none	284,4576,2028
contig_287	46300	3	-	-	1	none	3440,287,13749,13793,-12729,-8472
contig_290	105978	4	-	-	1	none	2719,290,-13052,-13983,-10797,-10797
contig_291	98328	5	-	-	1	right	13517,13517,13517,-9722,13517,13517,291
contig_292	52749	5	-	-	1	right	192,2663,13752,292
contig_293	101359	3	-	-	1	both	293
contig_294	106188	5	-	-	1	both	294
contig_295	423315	5	-	-	1	both	295
contig_296	150199	3	-	-	1	left	296
contig_298	153009	5	-	-	1	left	298
contig_299	96092	3	-	-	1	left	299
contig_300	136887	3	-	-	1	none	-13474,-10034,300,-10052
contig_302	118894	7	-	-	1	both	302
contig_304	159708	5	-	-	1	left	304
contig_305	245592	4	-	-	1	left	-6209,305,-587
contig_306	27505	3	-	-	1	left	306,4294
contig_307	44808	5	-	-	1	none	-4867,-11089,307
contig_308	137219	4	-	-	1	left	308,1047
contig_310	84344	3	-	-	1	none	13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,310,-12585
contig_312	349678	4	-	-	1	both	312
contig_314	178729	4	-	-	1	right	314
contig_315	91962	3	-	-	1	none	315,13314
contig_316	87696	5	-	-	1	left	316
contig_317	144925	5	-	-	1	none	317
contig_321	189303	3	-	-	1	right	13310,13310,13310,13310,13310,13310,321
contig_322	42948	6	-	-	1	right	11726,322
contig_323	153333	5	-	-	1	both	323
contig_326	44584	6	-	-	1	left	326
contig_329	135350	5	-	-	1	both	329
contig_330	145933	6	-	-	1	none	330
contig_331	103259	3	-	-	1	left	331,5676
contig_333	164680	3	-	-	1	none	333,1087,12699
contig_334	50377	4	-	-	1	right	-3431,6637,3429,13052,13164,334
contig_335	292543	3	-	-	1	both	335,-5656
contig_337	111260	3	-	-	1	left	337
contig_338	37879	5	-	-	1	right	338
contig_339	277556	4	-	-	1	right	7580,7580,-2024,-9889,12904,339
contig_340	159094	5	-	-	1	left	340,10499
contig_342	40842	5	-	-	1	none	342
contig_344	73591	4	-	-	1	both	344
contig_345	78751	3	-	-	1	both	345
contig_346	135682	6	-	-	1	left	346,343
contig_347	168881	4	-	-	1	left	347,13453
contig_348	35882	3	-	-	1	right	348,11372
contig_350	133483	5	-	-	1	right	350
contig_351	310130	5	-	-	1	right	351
contig_352	51172	5	-	-	1	right	352
contig_353	69890	4	-	-	1	left	353,-2011
contig_354	86738	3	-	-	1	both	354
contig_355	65208	3	-	-	1	both	355
contig_356	56453	6	-	-	1	left	356,-13439,-7327,-7327,-7327
contig_357	189809	5	-	-	1	right	13517,13517,13517,13517,13517,-413,-4870,6575,13517,12663,357
contig_358	180886	5	-	-	1	both	358
contig_359	35023	5	-	-	1	none	359
contig_361	61015	4	-	-	1	left	361
contig_364	50187	4	-	-	1	right	364
contig_366	7033	4	-	-	1	both	366
contig_367	57282	3	-	-	1	none	1810,1810,1810,1810,1810,1810,1810,10253,2232,1810,1810,1810,1810,367
contig_368	56292	3	-	-	1	left	368
contig_372	63446	4	-	-	1	left	372
contig_373	57908	4	-	-	1	none	8162,-7484,-10457,10582,373,-10349
contig_374	106233	4	-	-	1	left	374,-13191
contig_375	127269	4	-	-	1	left	375,-4270,6428,-4270
contig_376	102440	5	-	-	1	right	376,-13517,-13517,-13517,-3439
contig_378	162856	4	-	-	1	none	11460,8600,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,8600,-11368,378,7948,-13377,7948,-13377
contig_380	76164	4	-	-	1	left	380
contig_383	149668	4	-	-	1	both	383
contig_385	78769	3	-	-	1	none	6992,385,-9626
contig_386	73964	3	-	-	1	none	11449,13517,-709,13517,13517,386,8154,13422,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517
contig_387	62463	4	-	-	1	left	387
contig_388	158511	4	-	-	1	right	-7516,388
contig_389	155880	5	-	-	1	right	-5652,11117,-11455,12789,-11455,-7116,-3449,13517,13517,13517,13517,13517,389
contig_392	173050	4	-	-	1	right	12327,392
contig_393	69150	4	-	-	1	both	393
contig_397	13062	3	-	-	1	none	2514,397
contig_401	96073	6	-	-	1	both	401
contig_402	31619	6	-	-	1	none	402
contig_404	69659	4	-	-	1	both	404
contig_406	35352	3	-	-	1	right	-13264,406
contig_408	98725	3	-	-	1	both	408
contig_409	122173	4	-	-	1	both	409
contig_414	12387	3	-	-	1	none	414
contig_415	37596	3	-	-	1	right	-8502,13734,2416,-11962,415
contig_417	158902	5	-	-	1	right	417
contig_418	54366	4	-	-	1	both	418
contig_419	116761	6	-	-	1	left	11553,419
contig_420	78903	4	-	-	1	both	420
contig_422	60992	4	-	-	1	left	422
contig_423	255200	3	-	-	1	both	423
contig_424	147460	4	-	-	1	right	6499,424
contig_425	129362	5	-	-	1	right	425
contig_426	91722	4	-	-	1	none	426
contig_427	75269	3	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,-4664,13517,9060,427
contig_428	89791	5	-	-	1	left	428,10490,-2486
contig_429	99808	4	-	-	1	left	11335,429,-13517,12234
contig_431	243984	4	-	-	1	both	431
contig_432	70897	4	-	-	1	right	432
contig_438	41102	5	-	-	1	both	438
contig_442	56342	5	-	-	1	none	13517,442
contig_443	54835	3	-	-	1	right	443
contig_444	410574	5	-	-	1	both	444
contig_445	31695	5	-	-	1	both	445
contig_446	73039	5	-	-	1	none	446,11573
contig_447	62379	5	-	-	1	left	447,13076
contig_448	113483	4	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,13517,-5369,13517,13517,448
contig_449	109316	4	-	-	1	none	449,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,4214
contig_450	116656	6	-	-	1	both	450
contig_451	145343	3	-	-	1	both	451
contig_452	114028	5	-	-	1	none	-4888,-6464,-11148,-4471,13223,5160,4633,4633,9099,8268,8268,8268,-1681,1684,7968,7968,452
contig_453	202732	5	-	-	1	none	453,-10473
contig_454	145475	4	-	-	1	none	454,8436,-13052,-13983,-10797,-10797,11931,2996
contig_456	153402	5	-	-	1	right	10803,456,-13517,-13517,-13517,-13517,-13517,-13517,-7166,-13517,-13517,-13517,-13517,-13517,-5638
contig_459	197947	6	-	-	1	none	3052,13517,4975,459
contig_460	123282	5	-	-	1	none	460,5225,-6916,5130,7311,-11880,-12591,12416,7311,-11880,3628
contig_461	28902	5	-	-	1	none	13517,13517,13517,13517,6987,-1582,13517,13517,13517,13517,461
contig_462	47980	5	-	-	1	none	462,-439
contig_463	76669	6	-	-	1	left	463,10914,-9614,13836
contig_464	148477	4	-	-	1	left	464,3422
contig_465	293183	4	-	-	1	both	465
contig_467	137313	4	-	-	1	left	467,-13302,-13302,-13302,-13302,-13302,-13302,-13302,-13302,3563,-10087,-8754,13619,-10015
contig_470	407257	4	-	-	1	both	470
contig_472	145547	5	-	-	1	none	472,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211
contig_475	168442	5	-	-	1	both	475
contig_478	67111	4	-	-	1	none	478
contig_482	42462	4	-	-	1	right	482
contig_483	136170	3	-	-	1	none	483
contig_484	55766	4	-	-	1	right	13687,484
contig_486	213232	5	-	-	1	right	6128,-7320,486
contig_487	15977	6	-	-	1	none	487
contig_488	23231	4	-	-	1	none	488
contig_490	47316	4	-	-	1	left	490
contig_491	39916	6	-	-	1	none	-13543,13517,13517,13517,13517,13517,13517,9791,-10235,13518,491
contig_493	18128	3	-	-	1	left	493,-13517,-13517,-13517
contig_494	51501	3	-	-	1	left	494,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,12727,-13517,-13517,-13517,-13517,-13654,-13517,-13517
contig_495	95950	4	-	-	1	none	-117,10477,13517,-9722,13517,495,10901
contig_497	6004	4	-	-	1	both	497
contig_498	151492	3	-	-	1	none	-13923,11292,498,7520
contig_500	213232	4	-	-	1	right	4810,500
contig_501	33558	3	-	-	1	none	501
contig_504	29874	3	-	-	1	none	504,1045
contig_505	202627	3	-	-	1	left	505,10457,-12057,-4815,-8162
contig_506	71558	4	-	-	1	left	506,-13517,-13517,-13517,-13517
contig_508	107488	5	-	-	1	none	13397,2486,-10490,508,-8393,14077
contig_510	68036	5	-	-	1	right	510
contig_512	398146	6	-	-	1	both	512
contig_513	219873	4	-	-	1	none	513,3206,-8133
contig_514	121892	5	-	-	1	both	514
contig_515	5245	3	-	-	1	none	515
contig_516	79886	6	-	-	1	right	516
contig_517	62588	3	-	-	1	none	6394,-13643,9426,6966,517,-2857,31
contig_518	71550	3	-	-	1	both	518
contig_519	153322	3	-	-	1	right	519
contig_520	71618	3	-	-	1	both	520
contig_521	70904	4	-	-	1	none	521,13111,10242,-9890,-14094,13410,13410,13410,13410
contig_522	57346	4	-	-	1	none	-13970,-6559,-8208,522,9386,10910,-4338,14132,13774
contig_523	145622	3	-	-	1	none	13517,13517,523
contig_524	62984	4	-	-	1	right	-8041,10232,5265,13345,12810,524
contig_525	110521	4	-	-	1	both	525
contig_527	46511	3	-	-	1	right	527
contig_530	143712	4	-	-	1	both	530
contig_531	79999	6	-	-	1	both	531
contig_533	40513	3	-	-	1	both	533
contig_534	157881	4	-	-	1	none	8644,534
contig_536	101236	4	-	-	1	both	536
contig_538	38686	3	-	-	1	none	-13264,538,1292
contig_539	58125	4	-	-	1	none	-7566,539
contig_540	57745	6	-	-	1	none	540,-13439,-7327,-7327,-7327,-6981,-13517,-13517,-13517,-13517,-13517
contig_541	77996	3	-	-	1	both	541
contig_542	134530	4	-	-	1	none	542,-11208
contig_544	64169	3	-	-	1	left	544
contig_545	72515	5	-	-	1	none	13517,13517,545,-13560,11083,-1810
contig_546	89448	4	-	-	1	none	546,-7242,-10073,-4532,11669
contig_547	50964	5	-	-	1	none	9404,547
contig_548	86636	6	-	-	1	right	13308,4015,-4620,-13346,-4923,4002,4002,4002,4002,4002,4002,4002,4002,4002,6739,-13346,-4923,4015,-4620,-13346,-4923,6739,4406,548,-5569
contig_549	167606	5	-	-	1	right	13305,8567,9012,-4919,13305,8567,9012,549
contig_550	74171	4	-	-	1	none	550
contig_554	123929	3	-	-	1	right	12755,554
contig_555	34166	6	-	-	1	right	555,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-1749
contig_556	26603	3	-	-	1	left	556,12490
contig_558	153249	4	-	-	1	both	558
contig_560	87353	4	-	-	1	both	560
contig_561	118018	3	-	-	1	both	561
contig_562	46467	4	-	-	1	both	562
contig_563	187438	4	-	-	1	both	563
contig_565	294564	4	-	-	1	both	565
contig_567	38580	3	-	-	1	right	567
contig_568	84576	6	-	-	1	none	568,-5927,9120
contig_569	117886	6	-	-	1	both	569
contig_570	86356	5	-	-	1	none	-566,13517,13517,13517,13517,13517,13517,13517,-4777,13517,13517,-13534,-7370,570,-13517,-13517,-13517,-13517
contig_571	81288	3	-	-	1	right	571
contig_573	31885	3	-	-	1	left	573,4096,4101,-13316,-4312,-2067
contig_574	105487	4	-	-	1	both	574
contig_575	58002	3	-	-	1	none	575,-13517,-13517,13532,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517
contig_577	182968	3	-	-	1	right	11169,-12130,13517,13517,13517,13517,13517,13517,13517,13517,13517,577
contig_578	68732	3	-	-	1	none	578
contig_579	98750	5	-	-	1	none	579
contig_580	262215	4	-	-	1	both	580
contig_581	211193	4	-	-	1	both	581
contig_582	72283	3	-	-	1	left	582
contig_583	149612	4	-	-	1	none	583
contig_584	96272	5	-	-	1	none	12486,13356,13728,584,6197
contig_589	84630	5	-	-	1	none	589,-13517,-11499,-13517,-13517,-13517,-13517,-13517
contig_590	72545	5	-	-	1	right	590
contig_591	192581	4	-	-	1	right	13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,13310,591
contig_592	34424	3	-	-	1	left	592
contig_593	77089	4	-	-	1	both	593
contig_594	185251	4	-	-	1	left	594,1047
contig_595	44007	4	-	-	1	right	-3121,595
contig_596	32192	4	-	-	1	none	13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,596
contig_597	58132	5	-	-	1	none	-10585,13517,13517,13517,13517,13517,597
contig_598	40313	4	-	-	1	right	10816,12161,13517,598
contig_599	509938	5	-	-	1	both	599
contig_600	104574	5	-	-	1	right	600
contig_601	293349	3	-	-	1	left	601,11962,-2416,-371,-3488
contig_605	8245	4	-	-	1	none	605
contig_606	129421	5	-	-	1	left	606,-6769,2898,-11147,9241,12847,-6769
contig_607	82243	5	-	-	1	left	607,8401
contig_609	43209	3	-	-	1	right	609
contig_610	153003	6	-	-	1	both	610
contig_612	90362	4	-	-	1	both	612
contig_613	72102	5	-	-	1	left	613,-9699,6253,5923,2788,1671,1672,-9699,6253,11811
contig_614	32267	5	-	-	1	both	614
contig_615	33630	3	-	-	1	none	615,-13518,-13517,-13517,-13517,-13517,-13517
contig_616	140266	3	-	-	1	none	616,-13517,-13517,-13517,-13517,-13517,-13517
contig_617	78319	3	-	-	1	left	617
contig_619	70418	6	-	-	1	none	-9210,-8020,619,6176
contig_621	204680	5	-	-	1	both	621
contig_623	491756	5	-	-	1	right	11179,623
contig_625	110034	3	-	-	1	right	-7878,625,1439
contig_626	229467	4	-	-	1	right	-10457,10582,-13776,626
contig_627	89819	5	-	-	1	both	627
contig_628	115927	5	-	-	1	left	628,3805
contig_629	993048	4	-	-	1	both	629
contig_632	69163	6	-	-	1	both	632
contig_633	65340	3	-	-	1	both	633
contig_634	221872	4	-	-	1	left	634
contig_635	22534	4	-	-	1	none	-9425,13356,13125,635,-3422
contig_636	53108	5	-	-	1	left	636
contig_638	45210	3	-	-	1	right	638
contig_639	103382	3	-	-	1	left	639,-10582,10457,7484,-823,13776,-10582,-972
contig_640	79283	4	-	-	1	left	640
contig_641	56287	3	-	-	1	left	641,-9426,-13316
contig_644	209381	4	-	-	1	both	644
contig_645	374138	4	-	-	1	right	-5570,7296,7458,-14039,-10574,-12615,-3051,645
contig_646	40230	3	-	-	1	both	646
contig_648	51357	4	-	-	1	right	6487,648
contig_652	46580	3	-	-	1	right	652
contig_653	6377	4	-	-	1	none	653
contig_655	119226	7	-	-	1	right	10612,-6798,-12831,655
contig_657	11778	4	-	-	1	none	657
contig_659	155833	5	-	-	1	both	659
contig_660	159671	5	-	-	1	none	660,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-3211,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-12132,-13110,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-11124,-9795,4953,-537,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091,6091
contig_661	71073	5	-	-	1	left	661,-434,11212
contig_662	121008	4	-	-	1	none	662,8041
contig_663	90593	3	-	-	1	none	663,9305,-1120,11842
contig_664	150592	5	-	-	1	left	3439,664
contig_665	46528	4	-	-	1	right	13302,13302,13302,13302,13302,13302,13302,13302,665
contig_666	6276	4	-	-	1	none	666
contig_667	197431	5	-	-	1	both	667
contig_669	75989	4	-	-	1	left	669
contig_671	132181	3	-	-	1	left	671,10923,2216,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517
contig_672	83780	3	-	-	1	left	672
contig_674	126486	3	-	-	1	both	674,11357
contig_675	89970	5	-	-	1	none	-13551,675,6936,-12075
contig_677	87858	4	-	-	1	right	-12349,-13410,-13410,-13410,-13410,14094,9890,-10242,-13111,-13501,4815,677
contig_678	166505	4	-	-	1	both	678
contig_681	90479	3	-	-	1	both	681,-13517,-13517,-13517,-13517,-13517,-13517,-12478
contig_686	18703	4	-	-	1	right	686
contig_687	37582	4	-	-	1	none	687
contig_688	65194	6	-	-	1	left	688
contig_689	34812	4	-	-	1	none	689
contig_690	63608	4	-	-	1	both	690
contig_692	25091	3	-	-	1	right	692
